2020-05-01 18:23:44,806 :: INFO :: Human in (17, 14)
2020-05-01 18:23:44,807 :: INFO :: Human in (22, 0)
2020-05-01 18:23:44,807 :: INFO :: Human in (5, 9)
2020-05-01 18:23:44,807 :: INFO :: Human in (9, 25)
2020-05-01 18:23:44,807 :: INFO :: Human in (24, 21)
2020-05-01 18:23:44,807 :: INFO :: Human in (16, 22)
2020-05-01 18:23:44,807 :: INFO :: Human in (17, 16)
2020-05-01 18:23:44,808 :: INFO :: Human in (4, 23)
2020-05-01 18:23:44,808 :: INFO :: Human in (2, 16)
2020-05-01 18:23:44,808 :: INFO :: Human in (21, 27)
2020-05-01 18:23:44,808 :: INFO :: Human in (12, 7)
2020-05-01 18:23:44,808 :: INFO :: Human in (27, 26)
2020-05-01 18:23:44,809 :: INFO :: Human in (27, 22)
2020-05-01 18:23:44,809 :: INFO :: Human in (5, 22)
2020-05-01 18:23:44,809 :: INFO :: Human in (20, 29)
2020-05-01 18:23:44,809 :: INFO :: Human in (21, 28)
2020-05-01 18:23:44,809 :: INFO :: Human in (22, 15)
2020-05-01 18:23:44,809 :: INFO :: Human in (0, 10)
2020-05-01 18:23:44,810 :: INFO :: Human in (2, 31)
2020-05-01 18:23:44,810 :: INFO :: Human in (0, 16)
2020-05-01 18:23:44,810 :: INFO :: Human in (24, 29)
2020-05-01 18:23:44,810 :: INFO :: Human in (20, 9)
2020-05-01 18:23:44,810 :: INFO :: Human in (11, 14)
2020-05-01 18:23:44,810 :: INFO :: Human in (11, 22)
2020-05-01 18:23:44,810 :: INFO :: Human in (13, 2)
2020-05-01 18:23:44,810 :: INFO :: Human in (17, 27)
2020-05-01 18:23:44,810 :: INFO :: Human in (19, 5)
2020-05-01 18:23:44,810 :: INFO :: Human in (30, 4)
2020-05-01 18:23:44,811 :: INFO :: Human in (15, 31)
2020-05-01 18:23:44,811 :: INFO :: Human in (27, 16)
2020-05-01 18:23:44,811 :: INFO :: Human in (1, 13)
2020-05-01 18:23:44,811 :: INFO :: Human in (16, 2)
2020-05-01 18:23:44,811 :: INFO :: Human in (26, 11)
2020-05-01 18:23:44,811 :: INFO :: Human in (24, 34)
2020-05-01 18:23:44,811 :: INFO :: Human in (23, 20)
2020-05-01 18:23:44,811 :: INFO :: Human in (33, 13)
2020-05-01 18:23:44,811 :: INFO :: Human in (23, 13)
2020-05-01 18:23:44,811 :: INFO :: Human in (9, 32)
2020-05-01 18:23:44,812 :: INFO :: Human in (22, 1)
2020-05-01 18:23:44,812 :: INFO :: Human in (15, 24)
2020-05-01 18:23:44,812 :: INFO :: Human in (10, 15)
2020-05-01 18:23:44,812 :: INFO :: Human in (32, 23)
2020-05-01 18:23:44,812 :: INFO :: Human in (11, 17)
2020-05-01 18:23:44,812 :: INFO :: Human in (11, 6)
2020-05-01 18:23:44,812 :: INFO :: Human in (31, 23)
2020-05-01 18:23:44,812 :: INFO :: Human in (13, 30)
2020-05-01 18:23:44,813 :: INFO :: Human in (26, 16)
2020-05-01 18:23:44,813 :: INFO :: Human in (28, 25)
2020-05-01 18:23:44,813 :: INFO :: Human in (30, 24)
2020-05-01 18:23:44,813 :: INFO :: Human in (21, 22)
2020-05-01 18:23:44,813 :: INFO :: Human in (20, 27)
2020-05-01 18:23:44,813 :: INFO :: Human in (15, 19)
2020-05-01 18:23:44,813 :: INFO :: Human in (27, 6)
2020-05-01 18:23:44,813 :: INFO :: Human in (22, 8)
2020-05-01 18:23:44,813 :: INFO :: Human in (11, 34)
2020-05-01 18:23:44,814 :: INFO :: Human in (24, 8)
2020-05-01 18:23:44,814 :: INFO :: Human in (18, 18)
2020-05-01 18:23:44,814 :: INFO :: Human in (28, 33)
2020-05-01 18:23:44,814 :: INFO :: Human in (8, 15)
2020-05-01 18:23:44,814 :: INFO :: Human in (15, 30)
2020-05-01 18:23:44,814 :: INFO :: Human in (5, 29)
2020-05-01 18:23:44,814 :: INFO :: Human in (19, 6)
2020-05-01 18:23:44,814 :: INFO :: Human in (9, 5)
2020-05-01 18:23:44,815 :: INFO :: Human in (7, 1)
2020-05-01 18:23:44,815 :: INFO :: Human in (22, 14)
2020-05-01 18:23:44,815 :: INFO :: Human in (15, 12)
2020-05-01 18:23:44,815 :: INFO :: Human in (20, 3)
2020-05-01 18:23:44,815 :: INFO :: Human in (25, 23)
2020-05-01 18:23:44,815 :: INFO :: Human in (5, 5)
2020-05-01 18:23:44,815 :: INFO :: Human in (0, 26)
2020-05-01 18:23:44,815 :: INFO :: Human in (14, 34)
2020-05-01 18:23:44,816 :: INFO :: Human in (34, 7)
2020-05-01 18:23:44,816 :: INFO :: Human in (31, 2)
2020-05-01 18:23:44,816 :: INFO :: Human in (23, 15)
